Empresa;Nota (Estrelas);Qtd Avaliações;Resumo do Negócio (Pitch);Endereço;Telefone;Tipo;Link WhatsApp;Site;E-mail;Instagram;Facebook;LinkedIn;TikTok;YouTube
Padrão Locações e Serviços - aluguel de perfuratriz;;-;"1,205 seguidores, 1,946 seguindo, 577 posts — Padrão Locações Padrao (@padraofloripa) no Instagram: ""@padraofloripa #tubulao #linhadetransmissao #perfuratriz #perfuratrizdesolo""";R. Antônio Carlos Ferreira, 339  Agronômica, Florianópolis - SC, 88025-210;(48) 99112-2805;📱 Telemóvel;https://wa.me/5548991122805;https://www.instagram.com/padraofloripa/;-;-;-;-;-;-
Locadora Locall - Aluguel Plataforma Elevatória Tesoura Articulada;;-;"Locação de plataforma elevatória para obras e construção civil. Tipos plataforma articulada; mastros verticais; plataforma tesoura.";R. Anacleto Busato, 116  Sertão do Maruim, São José - SC, 88122-022;(48) 3380-1796;☎️ Fixo;-;http://www.locadoralocall.com.br/;comercial@locadoralocall.com.br;https://www.instagram.com/locadoralocall;https://www.facebook.com/localllocadora;https://www.linkedin.com/company/locall-locadora-plataformas-a%C3%A9reas;-;-
Mestre da Obra Florianópolis;;-;Mestre da Obra Florianópolis, Florianópolis. 70 curtidas. Mestre da Obra - Aluguel de ferramentas, máquinas e equipamentos para sua construção!;R. Joe Collaço, 744  Córrego Grande, Florianópolis - SC, 88037-010;(48) 99612-6565;📱 Telemóvel;https://wa.me/5548996126565;https://www.facebook.com/profile.php?id=61563206600067;florianopolis@mestredaobralocacoes.com.br;-;https://www.facebook.com/login/device-based/regular/login/?login_attempt=1&next=https%3A%2F%2Fwww.facebook.com%2Fpeople%2FMestre-da-Obra-Florian%25C3%25B3polis%2F61563206600067%2F;-;-;-
LM aluguel de Betoneiras, Andaimes, Rompedores e outros equipamentos.;;-;Início;Rod. José Carlos Daux, 9250  Santo Antonio de Lisboa, Florianópolis - SC, 88050-001;(48) 99194-3256;📱 Telemóvel;https://wa.me/5548991943256;http://www.locacaomorumbi.com.br/;jm.matos@locacaomorumbi.com.br;-;http://www.google.com/url?q=http%3A%2F%2Fwww.facebook.com%2FLM%2520-%2520Floripa&sa=D&sntz=1&usg=AOvVaw0XFiZo-Pbo6_P_PYpiNUHA;-;-;-
ALUGUEL DE EQUIPAMENTOS;;-;Locadora de equipamentos para construção em Florianópolis. Andaimes, betoneiras, ferramentas elétricas. Entrega grátis. ☎️ (48) 3304-3308;Agronômica, Florianópolis  SC, 88010-400;(48) 98845-0334;📱 Telemóvel;https://wa.me/5548988450334;http://rinomaq.com.br/;-;-;-;-;-;-
Locadora Club da Obra Florianópolis - Aluguel de ferramentas em Florianópolis;;-;O CLUB DA OBRA oferece o mais rápido aluguel de andaimes, betoneiras e diversos equipamentos para construção civil em Florianópolis.;R. Divino Espírito Santo, 73  Rio Tavares, Florianópolis - SC, 88048-090;(48) 99611-0622;📱 Telemóvel;https://wa.me/5548996110622;http://www.clubdaobra.com/;c5095236fd2e4b8fae9ed6d73cdd81a3@sentry.wixpress.com, 98b21aa53d68482b8414e892d9af0e5f@sentry-next.wixpress.com;https://www.instagram.com/clubdaobraflorianopolis;https://www.facebook.com/Club-da-Obra-100379491426030/;-;-;-
Loxam Aluguel de Equipamentos | Florianópolis;;-;Loxam Brasil: locação de equipamentos para construção, indústria e eventos, com plataforma elevatoria, geradores de energia entre outros.;Av. das Civilizações, 105  Lotes 5 e 6, Qda 4 - Aririu, Palhoça - SC, 88135-000;(48) 3036-9565;☎️ Fixo;-;http://www.loxam.com.br/;contato@loxam.com.br;https://www.instagram.com/loxam_brasil/;https://www.facebook.com/loxambr;https://www.linkedin.com/company/loxambrasil/;-;https://www.youtube.com/channel/UCXAcIXdpCWUNOWPpIaxXX8Q?view_as=subscriber
Rinomaq Aluguel de Máquinas Para Construção;;-;Locadora de equipamentos para construção em Florianópolis. Andaimes, betoneiras, ferramentas elétricas. Entrega grátis. ☎️ (48) 3304-3308;Rodovia Armando Calil Bulos, SC403, 1070 - Vargem Grande, Florianópolis - SC, 88058-000;(48) 3304-3308;☎️ Fixo;-;https://rinomaq.com.br/;-;-;-;-;-;-
Equipa Mais - Locação de Equipamentos | Perfuração e Corte em Concreto;;-;Equipa Mais – Locação de Equipamentos – Palhoça / SC;Brasil, R. Petúnia, 510  Jardim Eldorado, Palhoça - SC, 88133-780;(48) 3286-1395;☎️ Fixo;-;http://www.equipamais.com.br/;equipamais@hotmail.com;https://instagram.com/equipamais.locacao;https://www.facebook.com/equipamaislocacoes/;https://br.linkedin.com/in/equipa-mais-b18b4464;-;-
Rei da Construção - ALUGUEL DE EQUIPAMENTO E VENDA DE EPI;;-;REI DA CONSTRUÇÃO Aluguel de equipamentos betoneira, andaime, vibrador, rompedor, serras, tupia, maquina de solda, roçadeira, soprador, bomba de água, escoras, martelete, entre outros. Venda de EPI equipamentos de proteção individual - luvas, capacetes, mascara, oculos, protetor auricular www.reidaconstrucao.com;SC405, 1985 - Campeche, Florianópolis - SC, 88065-000;(48) 3238-5752;☎️ Fixo;-;http://www.reidaconstrucao.com/;atendimento@reidaconstrucao.com, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com;-;-;-;-;-
Personal Aluguel, Venda e Conserto de Ferramentas;;-;Personal Aluga;R. José Corrêa, 122  Tapera, Florianópolis - SC, 88049-400;(48) 98804-8179;📱 Telemóvel;https://wa.me/5548988048179;http://www.personalaluga.com.br/;contato@personalaluga.com.br;https://www.instagram.com/personalaluga;https://www.facebook.com/personalaluga;-;-;-
Império Aluguel de Andaimes e Betoneiras;;-;"145 seguidores, 239 seguindo, 30 posts — Império Aluguel de Andaimes (@imperioandaimes) no Instagram: ""Aluguel de andaimes; Betoneiras; Máquinas e equipamentos para construção civil; Máquinas e equipamentos para pequenos reparos.""";Servidão Acelino Epifânio dos Santos, 205  São João do Rio Vermelho, Florianópolis - SC, 88060-335;(48) 99209-2443;📱 Telemóvel;https://wa.me/5548992092443;https://instagram.com/imperioandaimes?igshid=MzMyNGUyNmU2YQ==;-;-;-;-;-;-
HIPER LOCAÇÃO DE EQUIPAMENTOS;;-;-;R. Padre João Batista Réus, 1875  Caminho Novo, Palhoça - SC, 88132-300;(48) 3033-1963;☎️ Fixo;-;https://hiperlocacaodeequipamentos.com.br/;-;-;-;-;-;-
Casa do Construtor Florianópolis (Ingleses) - Aluguel de Equipamentos;;-;Florianópolis - SC (Ingleses) | Casa do Construtor - Aluguel de equipamentos;Rod. Armando Calil Bulos, 5503  Ingleses Norte, Florianópolis - SC, 88058-001;(48) 4042-3581;☎️ Fixo;-;https://casadoconstrutor.com.br/loja/florianopolis3/;palhoca@casadoconstrutor.com.br, florianopolis2@casadoconstrutor.com.br;https://www.instagram.com/casadoconstrutor/;https://www.facebook.com/CasaDoConstrutorFranquia/;https://www.linkedin.com/company/casa-do-construtor/;-;https://www.youtube.com/c/CasadoConstrutorOficial?sub_confirmation=1
Alugue Fácil | Betoneiras | Andaimes | Máquinas Elétricas;;-;-;Rod. João Gualberto Soares, 7206  Ingleses do Rio Vermelho, Florianópolis - SC, 88058-300;Não encontrado;Sem número;-;https://wa.me/4896381988;-;-;-;-;-;-
Maria Ribeiro | Aluguel de Vestidos e Ternos em Florianópolis;;-;A Maria Ribeiro surgiu diante de um forte desejo de crescimento pessoal e profissional de três irmãs. O sonho e a idealização de uma proposta diferente e cheia de personalidade no mercado da moda, deixavam esse projeto ainda mais especial. Vestidos modernos, luxuosos, com variedade de tamanhos, cores e modelos faziam aquela ideia crescer e assim buscaram destaque no mercado moda festa. O nome “Maria Ribeiro” já tinha um significado muito especial e vinha de encontro com a proposta da marca. Uma homenagem ao importante legado de vida deixado pela avó materna das sócias daria então início à uma grande história. Dedicação, honestidade, empatia e respeito eram algumas características que essa grande mulher havia deixado para suas netas. E para o novo negócio, a essência da marca ia de encontro com a história vivida por essa grade mulher. Nossa primeira loja foi aberta em 2017 na cidade de Florianópolis, em seguida Sombrio – SC, Belo Horizonte – MG, Palhoça – SC e agora em Jaraguá do Sul – SC. Todas as lojas idealizadas para mulheres de verdade, que gostam de moda e estão sempre muito antenadas com as tendências. Nossa maior missão? Ajudar ao próximo, ajudar mulheres a encontrarem sua beleza genuína, sua essência, o despertar de uma nova história ao entrar uma única vez em nossos vestidos Maria Ribeiro.;Av. Rio Branco, 1125  Centro, Florianópolis - SC, 88015-205;(48) 3054-4434;☎️ Fixo;-;https://www.mariaribeirovestidos.com.br/;-;-;-;-;-;-
SOS GAMES - Especializada em Notebooks e Games;;-;SOS Games, Florianópolis. 1.236 curtidas · 47 estiveram aqui. Atendimento pelo WhatsApp +55 48 3039-1089 ligações pelo fixo também é neste mesmo número;R. Ten. Silveira, 111 Subsolo  Loja 03 - Centro, Florianópolis - SC, 88010-300;(48) 3039-1089;☎️ Fixo;-;https://www.facebook.com/sosgamesoficial/;contato@sosgames.com.br;-;https://www.facebook.com/login/device-based/regular/login/?login_attempt=1&next=https%3A%2F%2Fwww.facebook.com%2Fsosgamesoficial%2F;-;-;-
Studio Beauty Coworking;;-;"1,559 seguidores, 255 seguindo, 17 posts — COWORKING | ALUGUEL DE SALA (@studiobeautycoworking) no Instagram: ""📍 Sua sala no centro de Florianópolis  🕠 Locação por hora ou período 👭 Espaço compartilhado para profissionais da Saúde, Beleza e Bem-Estar""";R. Pres. Nereu Ramos, 69  Sala 607 - Centro, Florianópolis - SC, 88015-010;(48) 98869-5505;📱 Telemóvel;https://wa.me/5548988695505;https://www.instagram.com/studiobeautycoworking/;-;-;-;-;-;-
OXI Saúde Terapia do Sono e Respiratória;;-;Oxi Saude – Terapia do Sono e Respiratória;Ed. Hantei Torre A  R. Emílio Blum, 131 - Sala 201 - Centro, Florianópolis - SC, 88020-010;(48) 3065-0111;☎️ Fixo;-;http://www.oxisaude.com.br/;vendas@oxisaude.com.br;https://www.instagram.com/oxisaude/;https://www.facebook.com/oxisaude;-;-;-
Maré Alta Charter | Aluguel de Lancha Florianópolis;;-;Alugar uma Lancha em Jurerê Internacional Florianópolis é com a Maré Alta Charter. Faça um Passeio de Lancha em Jurerê Internacional. Barcos para Locação.;Rua Saldanha Marinho, 374  sala 02 - Centro, Florianópolis - SC, 88010-450;(47) 99919-3153;📱 Telemóvel;https://wa.me/5547999193153;https://marealtacharter.com.br/destino/aluguel-de-barco-lancha-em-jurere-internacional-florianopolis/;-;-;-;-;-;-
Marido de Aluguel em Florianópolis - José Martins | Eletricista e Encanador;;-;Início;R. Hermann Blumenau, 253  Centro, Florianópolis - SC, 88020-020;(48) 99106-1589;📱 Telemóvel;https://wa.me/5548991061589;https://www.jjmartinsservicos.com.br/;-;-;-;-;-;-
Aluguel de Máquinas Floripa;;-;-;Seevidao das, R. das 11 Horas, Florianópolis  SC, 88060-255;Não encontrado;Sem número;-;-;-;-;-;-;-;-
TranscineTour;;-;Transcinetour – Aluguel de Van em Florianópolis;R. Vidal Ramos, 140  Centro, Florianópolis - SC, 88010-400;(48) 99935-8557;📱 Telemóvel;https://wa.me/5548999358557;https://transcinetour.com.br/;contato@transcinetour.com.br;https://www.instagram.com/vantranscinetour/;https://www.facebook.com/transcinetour/;-;-;-
